Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
agrest3,io.agrest.cayenne.processor.update.stage,CayenneUpdateApplyServerParamsStage,Law of Demeter violation,The tool detected the smell in this method (tagRelatedEntity) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.ResourceEntity.getMapBy; io.agrest.ResourceEntity.getChildren
agrest3,io.agrest.cayenne.processor.update.stage,CayenneUpdateApplyServerParamsStage,Law of Demeter violation,The tool detected the smell in this method (fillIdsFromRelatedIds) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.ResourceEntity.getAgEntity; io.agrest.runtime.processor.update.UpdateContext.getEntity
agrest3,io.agrest.cayenne.processor.update.stage,CayenneUpdateApplyServerParamsStage,Law of Demeter violation,The tool detected the smell in this method (fillIdsFromMeaningfulPk) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.ResourceEntity.getAgEntity; io.agrest.runtime.processor.update.UpdateContext.getEntity
agrest3,io.agrest.cayenne.processor.update.stage,CayenneUpdateApplyServerParamsStage,Law of Demeter violation,The tool detected the smell in this method (fillIdsFromExplicitContextId) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.ResourceEntity.getAgEntity; io.agrest.runtime.processor.update.UpdateContext.getEntity
agrest3,io.agrest.cayenne.processor.update.stage,CayenneUpdateApplyServerParamsStage,Law of Demeter violation,The tool detected the smell in this method (fillIdsFromExplicitContextId) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.ResourceEntity.getAgEntity; io.agrest.runtime.processor.update.UpdateContext.getEntity
agrest3,io.agrest.cayenne.processor.update.stage,CayenneUpdateApplyServerParamsStage,Law of Demeter violation,The tool detected the smell in this method (fillIdsFromExplicitContextId) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.runtime.processor.update.UpdateContext.getId; io.agrest.id.AgObjectId.asMap
agrest3,io.agrest.cayenne.processor.update.stage,CayenneUpdateApplyServerParamsStage,Law of Demeter violation,The tool detected the smell in this method (fillIdsFromParentId) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.runtime.EntityParent.getId; io.agrest.id.AgObjectId.get
agrest3,io.agrest.cayenne.spi,CayenneRuntimeExceptionMapperIT.Resource,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
agrest3,io.agrest.cayenne.spi,ValidationExceptionMapperIT.Resource,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
agrest3,io.agrest.cayenne.cayenne.inheritance.auto,_Aie1Sub1,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID_PK_COLUMN; A1; IE2
agrest3,io.agrest.cayenne.cayenne.inheritance.auto,_Aie1Sub1Sub1,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID_PK_COLUMN; A3
agrest3,io.agrest.cayenne.cayenne.inheritance.auto,_Aie1Sub2,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID_PK_COLUMN; A2
agrest3,io.agrest.cayenne.cayenne.inheritance.auto,_Aie1Super,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID_PK_COLUMN; A0; TYPE; IE3S
agrest3,io.agrest.cayenne.cayenne.inheritance.auto,_Ie1Sub1,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID_PK_COLUMN; A1; IE2
agrest3,io.agrest.cayenne.cayenne.inheritance.auto,_Ie1Sub1Sub1,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID_PK_COLUMN; A3
agrest3,io.agrest.cayenne.cayenne.inheritance.auto,_Ie1Sub2,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID_PK_COLUMN; A2
agrest3,io.agrest.cayenne.cayenne.inheritance.auto,_Ie1Super,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID_PK_COLUMN; A0; TYPE; IE3S
agrest3,io.agrest.cayenne.cayenne.inheritance.auto,_Ie2,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID_PK_COLUMN; IE1S
agrest3,io.agrest.cayenne.cayenne.inheritance.auto,_Ie3,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID_PK_COLUMN; IE1
agrest3,io.agrest.cayenne.cayenne.main.auto,_E1,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID_PK_COLUMN; AGE; DESCRIPTION; NAME; E15E1
agrest3,io.agrest.cayenne.cayenne.main.auto,_E10,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID_PK_COLUMN; C_BOOLEAN; C_DATE; C_DECIMAL; C_INT; C_TIME; C_TIMESTAMP; C_VARCHAR; E11S
agrest3,io.agrest.cayenne.cayenne.main.auto,_E11,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID_PK_COLUMN; ADDRESS; NAME; E10
agrest3,io.agrest.cayenne.cayenne.main.auto,_E12,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID_PK_COLUMN; E1213
agrest3,io.agrest.cayenne.cayenne.main.auto,_E12E13,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: E12_ID_PK_COLUMN; E13_ID_PK_COLUMN; E12; E13
agrest3,io.agrest.cayenne.cayenne.main.auto,_E13,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID_PK_COLUMN; E1213
agrest3,io.agrest.cayenne.cayenne.main.auto,_E14,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LONG_ID_PK_COLUMN; NAME; E15
